product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
21,Манго,3564,566,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2007-01-01,2025-01-09,3.73,Backorder
22,Сырокопченая колбаса,7581,691,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2007-03-11,2027-02-14,1.74,Out of Stock
23,Манго,6651,577,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,1996-03-04,2019-10-01,4.15,Returned
24,Лардон,3195,376,Мясо,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2012-04-04,2015-03-04,4.97,On Backorder
25,Тарелки глубокие,1389,461,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2003-06-02,2003-09-17,2.79,Available for Pickup
26,Голландский сыр,5804,476,Молочные продукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2001-01-07,2001-03-03,1.3,Temporarily Unavailable
27,Анис звездчатый,8736,47,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2019-04-03,2025-08-23,4.52,Available for Pickup
28,Бастурма,5402,112,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2000-08-01,2012-07-01,3.84,Shipping
29,Тыква,1538,295,Овощи,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2014-09-07,2022-07-19,2.51,Available for Pickup
30,Голландский сыр,9467,834,Молочные продукты,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2005-01-18,2010-01-04,2.31,Available for Pickup
31,Каша из манной крупы,3479,423,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2014-04-03,2020-04-04,4.35,New
32,Сулинка,1016,769,Напитки,Отвечает всем современным стандартам качества и безопасности.,2014-02-02,2025-01-27,3.0,Out of Stock
33,Адлеркурортная,1785,790,Напитки,Способствует снижению уровня стресса и улучшению настроения.,2013-01-04,2022-05-17,0.34,Refunded
34,Молоко,583,108,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2012-01-01,2021-01-02,2.21,Refunded
35,Пакеты для садовых работ,5272,917,Товары для дома,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1991-01-04,2030-04-07,4.38,Sold
36,Масло сливочное,828,14,Молочные продукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2005-05-16,2026-04-05,1.77,In Stock
37,Фета,9059,80,Молочные продукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,2004-02-03,2005-11-02,4.21,Delivered
38,Мандарин,2484,111,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2005-01-21,2023-02-25,2.5,Awaiting Review
39,Топинамбур,7614,6,Овощи,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2019-04-06,2026-01-06,4.99,New
40,Каша из дробленной ячневой крупы,5905,348,Бакалея,"Отличается приятным ароматом, который усиливает аппетит.",2010-02-05,2026-01-07,4.58,In Stock
41,Катык,6332,621,Молочные продукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,2021-10-04,2023-06-02,3.27,Available for Pickup
42,Каша из дробленной ржаной крупы,9101,84,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1994-03-01,2029-01-05,0.74,Shipping
43,Кружки,1792,895,Товары для дома,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2019-04-13,2027-02-01,4.13,Shipping
44,Свекла,3193,870,Овощи,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2006-02-19,2017-09-09,3.15,On Backorder
45,Творог,9413,238,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2021-02-01,2021-04-07,3.08,Out of Stock
46,Отбивная,5687,741,Мясо,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2004-10-02,2021-02-08,2.7,Cancelled
47,Шелковица,7531,346,Фрукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2005-07-02,2018-09-11,0.08,Cancelled
48,Батат,1739,286,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,2021-03-09,2030-03-02,4.75,Backorder
49,Шпик,4946,610,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2022-01-08,2027-02-16,4.63,Backorder
50,Абрикос,7241,249,Фрукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1997-02-17,2015-05-13,4.96,Temporarily Unavailable
51,Карамбола,7360,875,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1995-06-10,2028-06-22,1.67,Backorder
52,Кориандр молотый,3241,384,Бакалея,Поддерживает иммунитет и общее состояние здоровья.,2002-01-05,2008-04-01,4.02,On Backorder
53,Бастурма,2032,183,Мясо,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2006-04-17,2014-03-06,2.29,Temporarily Unavailable
54,Адыгейский сыр,404,114,Молочные продукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2008-04-20,2029-09-25,3.95,Awaiting Review
55,Смузи мангово-ананасовый,5156,234,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2015-04-16,2028-02-11,4.07,Sold
56,Турнепс,341,201,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2014-05-01,2026-01-01,1.99,Awaiting Review
57,Перец болгарский,5210,858,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1994-06-01,2026-02-01,4.66,Temporarily Unavailable
58,Матрасы,1673,384,Товары для дома,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2014-01-09,2017-08-02,4.77,Awaiting Review
59,Кунжут белый,4631,55,Бакалея,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",1995-06-03,2016-01-26,3.04,On Backorder
60,Крыжовник,6941,396,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1993-07-07,1996-01-01,1.84,Awaiting Payment
61,Тыква,3891,894,Овощи,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2010-07-17,2025-03-05,0.44,Returned
62,Ананас,5632,654,Фрукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-06-06,2029-01-21,4.85,Refunded
63,Fruko Schulz,6433,57,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2006-08-13,2022-01-15,2.36,Refunded
64,Шаверма,4616,181,Мясо,Способствует нормализации обмена веществ в организме.,1996-08-03,2019-03-01,1.06,Backorder
65,Пакеты для пляжа,3896,685,Товары для дома,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2007-01-13,2028-01-09,0.11,Out of Stock
66,Кролик,9115,176,Мясо,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2014-03-01,2027-12-25,3.46,Temporarily Unavailable
67,Капуста белокочанная,790,559,Овощи,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2008-01-16,2012-10-04,2.03,Awaiting Review
68,Златоустовская,4396,561,Напитки,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1992-05-01,2010-01-01,2.26,Out of Stock
69,Банан,3051,881,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2021-03-06,2028-01-06,2.34,New
70,Самарская,8413,849,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,2009-03-15,2016-02-06,4.47,Out of Stock
71,Петрушка сушеная,189,307,Бакалея,Способствует улучшению работы пищеварительной системы.,2006-03-06,2010-07-20,0.35,On Backorder
72,Горячий шоколад,4655,856,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1998-01-02,2000-02-05,0.94,Refunded
73,Пледы,3800,546,Товары для дома,"Подходит для людей всех возрастов, включая детей и пожилых.",1990-08-09,2020-02-04,2.36,Temporarily Unavailable
74,Овсянка,598,229,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2019-06-04,2029-01-21,4.91,Pending
75,Чизбургеры,5989,40,Мясо,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1997-07-01,2015-03-11,0.44,Cancelled
76,Блины с мясом,8983,98,Мясо,Отличается высокой питательностью и способен быстро утолить голод.,1996-01-05,2024-02-07,0.95,Backorder
77,Ессентуки,779,516,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2010-09-15,2018-01-18,3.74,Available for Pickup
78,Пакеты для мастер-класса,9259,101,Товары для дома,Подходит для использования в качестве замены традиционных молочных продуктов.,2021-02-14,2030-01-09,2.04,Cancelled
79,Ямс,6996,312,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2001-07-08,2026-04-06,2.55,New
80,Абрикос,1362,144,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1991-10-01,2019-02-07,0.67,New
81,Пастернак,5624,15,Овощи,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1997-01-06,2011-09-12,2.13,Available for Pickup
82,Печень,7492,763,Мясо,Отличается гипоаллергенностью и безопасностью для большинства людей.,2021-03-04,2027-06-14,2.66,Cancelled
83,Шпик,5587,470,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-01-01,2024-08-02,1.11,Returned
84,Гель для душа,1395,287,Товары для дома,"Является источником важных микроэлементов, таких как магний и калий.",2009-05-07,2021-03-05,4.77,Available for Pickup
85,Каша из ржи,1188,601,Бакалея,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1995-01-03,2004-05-01,3.09,Temporarily Unavailable
86,Березовский родник,9340,416,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,2009-04-11,2027-02-23,0.73,Awaiting Review
87,Каша из дробленого кускуса,878,231,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2014-03-02,2027-07-04,0.9,On Backorder
88,Хурма,9133,849,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2014-01-04,2015-06-03,3.12,Out of Stock
89,Пакеты для обуви,2498,412,Товары для дома,"Является источником витаминов группы B, необходимых для энергетического обмена.",1995-02-01,2016-04-08,5.0,Sold
90,Карамбола,148,767,Фрукты,"Обладает мягким вкусом, который нравится многим потребителям.",2021-12-07,2023-01-02,0.98,In Stock
91,Шубат,2870,924,Молочные продукты,Отличается хорошей совместимостью с другими продуктами питания.,1998-01-10,2003-01-13,4.19,Pending
92,Черника,4226,912,Фрукты,Поддерживает иммунитет и общее состояние здоровья.,2018-08-05,2029-03-28,3.39,On Backorder
93,Каша из дробленой ржи,8524,159,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,1995-06-07,2017-08-05,2.24,New
94,Фарш индюшиный,7274,563,Мясо,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2017-02-02,2025-05-05,2.37,Cancelled
95,Инжир,3164,109,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1996-10-03,2005-02-04,1.6,Awaiting Review
96,Карамбола,4289,463,Фрукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2022-10-04,2029-03-09,3.39,Backorder
97,Паприка сладкая молотая,1143,539,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2009-11-01,2018-01-02,1.09,Backorder
98,Тарелки мелкие,6817,614,Товары для дома,"Является источником важных микроэлементов, таких как магний и калий.",2021-01-20,2025-02-12,0.23,Out of Stock
99,Доски разделочные,5407,101,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2018-01-04,2027-01-25,3.16,Awaiting Review
100,Пирожки с мясом,3893,912,Мясо,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2000-02-20,2009-02-18,2.85,Out of Stock
101,Ложки столовые,8373,231,Товары для дома,Помогает поддерживать нормальный обмен веществ и метаболизм.,2014-05-03,2023-01-01,3.8,On Backorder
102,San Pellegrino,8331,795,Напитки,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2003-04-11,2013-01-18,2.86,Backorder
103,Айва,4940,299,Фрукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1991-01-03,2008-01-01,4.03,Temporarily Unavailable
104,Эндивий,5790,952,Овощи,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1997-02-11,2003-02-12,0.22,Shipping
105,Хабаровская,322,387,Напитки,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2021-04-01,2028-05-05,4.04,Backorder
106,Пакеты для тренинга,4568,871,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1999-04-05,2017-07-02,4.68,Delivered
107,Пакет для заморозки,2081,156,Товары для дома,Помогает поддерживать нормальный обмен веществ и метаболизм.,2017-01-04,2024-02-26,4.25,Refunded
108,Забайкальская,3671,475,Напитки,"Обладает мягким вкусом, который нравится многим потребителям.",1996-05-03,2003-01-16,0.01,New
109,Липецкий бювет,1769,723,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2009-04-11,2010-01-09,2.09,Cancelled
110,Клубника,4222,979,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,2022-01-06,2027-07-03,3.02,Refunded
111,Грейпфрут,2222,22,Фрукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-06-02,2000-01-01,3.34,Awaiting Review
112,Индейка,9243,934,Мясо,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1995-02-13,1997-05-01,2.04,Delivered
113,Чизбургеры,6250,791,Мясо,Отличается удобством использования и экономичностью в расходе.,1995-01-01,2025-03-13,3.8,Backorder
114,Помидор,401,719,Овощи,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2015-04-03,2019-02-28,4.46,New
115,Пакеты для Всемирного дня окружающей среды,2417,96,Товары для дома,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2021-05-10,2030-03-01,0.5,Returned
116,Пакеты для бассейна,4142,314,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2003-01-08,2004-04-17,0.75,Pending
117,Постельное белье,5214,209,Товары для дома,Является важным компонентом рациона для поддержания гормонального баланса.,2006-02-22,2013-05-11,1.46,Cancelled
118,Формы для выпечки,2880,764,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2017-02-09,2030-07-10,4.68,Shipping
119,Зефир,7832,591,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2017-08-18,2024-01-04,2.68,Out of Stock
120,Укроп,2241,697,Овощи,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-02-03,2008-04-03,1.72,Sold
121,Топинамбур,786,855,Овощи,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2003-02-18,2023-01-08,2.25,Cancelled
122,Кабанятина,4466,76,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2016-01-06,2016-01-07,4.07,Shipping
123,Кефир,2907,670,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2012-03-08,2013-01-01,2.33,Awaiting Review
124,Крыжовник,5511,111,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2003-01-04,2016-02-10,3.28,Awaiting Payment
125,Персик,6444,240,Фрукты,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2020-03-01,2020-08-04,0.59,Shipping
126,Верблюжье молоко,3000,328,Молочные продукты,Идеален для перекусов между основными приемами пищи.,1997-01-09,2030-08-13,4.28,Shipping
127,Масала чай,3744,920,Напитки,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2022-03-04,2024-03-14,1.49,Sold
128,Бастурма,4812,965,Мясо,Отличается высокой питательностью и способен быстро утолить голод.,1996-04-12,2009-03-01,3.73,Pending
129,Фейхоа,5177,815,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2022-10-14,2027-11-10,0.56,Returned
130,Огурец,7643,652,Овощи,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1996-03-03,2020-09-24,4.0,In Stock
131,Пакеты для детских вещей,5798,685,Товары для дома,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2008-03-12,2018-02-15,3.72,Returned
132,Кефир,4489,695,Молочные продукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2017-05-08,2027-06-08,1.54,Awaiting Review
133,Нектарин,4122,32,Фрукты,Отличается легкостью в переваривании и усвоении организмом.,2013-01-05,2017-04-10,3.89,Awaiting Review
134,Пакеты для ярмарки,6001,801,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1999-02-07,2017-01-16,3.37,On Backorder
135,Пакеты пластиковые,3903,480,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2015-02-04,2018-07-11,1.47,Delivered
136,Отбивная,6522,570,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2014-05-02,2017-02-01,3.15,Awaiting Payment
137,Миксер,7337,611,Товары для дома,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2013-02-02,2013-02-06,1.52,Shipping
138,Мандарин,7418,506,Фрукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2022-06-01,2024-04-03,1.86,Delivered
139,Репа,4053,992,Овощи,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2003-01-08,2005-10-01,1.1,Delivered
140,Паприка сладкая молотая,9948,723,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,2013-01-13,2025-03-09,0.43,Backorder
141,Капуста белокочанная,2380,500,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1990-01-03,2027-05-18,3.47,Pending
142,Марьинская,8371,719,Напитки,Отличается низкой калорийностью и высоким содержанием белка.,1992-01-01,2000-01-05,3.25,Temporarily Unavailable
143,Талицкая,5704,238,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1998-04-22,2022-01-12,0.8,Delivered
144,Донер-кебаб,6127,612,Мясо,Помогает поддерживать здоровый цвет лица и упругость кожи.,1990-04-07,2018-06-07,0.06,Refunded
145,Пакеты для офиса,6736,713,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2009-04-06,2022-01-02,2.75,On Backorder
146,Бифштекс,7473,466,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2011-02-01,2015-01-08,0.41,In Stock
147,Гранат,7235,772,Фрукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1998-05-12,2005-02-07,4.05,Shipping
148,Бастурма,9737,802,Мясо,Отличается хорошей совместимостью с другими продуктами питания.,1995-05-09,2022-02-05,3.14,In Stock
149,Айран,5189,697,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2017-06-03,2027-07-03,1.84,Awaiting Review
150,Каша из пшена,802,878,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,2015-03-08,2016-02-01,3.62,Pending
151,Верблюжье молоко,3005,940,Молочные продукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1996-03-20,2003-01-10,3.14,New
152,Пакеты для Дня отца,1640,896,Товары для дома,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2012-03-01,2014-01-08,4.12,Refunded
153,Скалки,7699,144,Товары для дома,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2008-06-06,2013-02-06,2.55,Backorder
154,Йогурт,5990,742,Молочные продукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2009-01-01,2014-04-03,3.08,Available for Pickup
155,Алтайская россыпь,3341,987,Напитки,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2010-03-01,2019-08-12,1.41,Backorder
156,Солонина,7016,389,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2011-01-12,2026-03-16,4.12,Out of Stock
157,Персик,2707,725,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2001-03-02,2006-08-14,3.07,Temporarily Unavailable
158,Огурец,5569,991,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2014-01-05,2017-02-17,0.08,Refunded
159,Кумыс,7252,318,Напитки,Отличается высокой питательностью и способен быстро утолить голод.,2008-01-03,2023-02-05,3.47,In Stock
160,Конфи,3711,828,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1996-03-11,2027-08-14,2.65,Temporarily Unavailable
161,Крыжовник,6983,27,Фрукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2006-01-09,2007-01-22,2.82,Refunded
162,Бамия,2936,130,Овощи,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2016-01-01,2024-02-18,0.79,On Backorder
163,Верблюжье молоко,4460,797,Молочные продукты,"Обладает мягким вкусом, который нравится многим потребителям.",1992-09-07,2015-04-13,2.56,Refunded
164,Пакеты для уборки,5974,947,Товары для дома,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2012-04-17,2013-01-02,0.85,New
165,Стиральный порошок,6748,533,Товары для дома,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2010-01-10,2030-05-08,3.08,Pending
166,Подставки под горячее,6693,346,Товары для дома,Помогает улучшить когнитивные функции и память.,2017-03-10,2030-01-20,2.94,Cancelled
167,Ямс,1783,269,Овощи,Помогает поддерживать оптимальный вес и форму тела.,1997-01-09,2023-03-05,2.09,Sold
168,Виноград,3618,222,Фрукты,Может использоваться в вегетарианской диете как источник белка.,2022-08-01,2029-05-01,0.19,Pending
169,Шея,9567,715,Мясо,Помогает поддерживать здоровый цвет лица и упругость кожи.,2007-01-01,2009-06-01,0.47,Returned
170,Камамбер,6433,54,Молочные продукты,Подходит для использования в рационе людей с повышенным давлением.,2001-08-13,2028-03-02,0.11,Returned
171,Студень,1761,513,Мясо,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2001-03-04,2028-11-06,3.59,Sold
172,Безалкогольный мохито,8340,558,Напитки,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1991-07-03,2007-08-02,1.05,Cancelled
173,Кристалл Байкала,1165,404,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,2007-05-03,2008-01-01,4.39,Available for Pickup
174,Шелковица,4342,785,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2010-01-01,2019-08-03,4.4,Pending
175,Хабаровская,4090,616,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2005-01-02,2012-02-12,1.12,Backorder
176,Каймак,1526,177,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,1993-02-11,2007-01-11,2.31,In Stock
177,Пельмени,1056,255,Мясо,Помогает поддерживать здоровый цвет лица и упругость кожи.,2020-06-01,2024-08-12,0.6,Available for Pickup
178,Груша,9980,287,Фрукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2010-05-13,2029-01-02,1.1,Sold
179,Каша из дробленного пшена,7266,949,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1993-08-16,2019-02-21,4.93,Awaiting Review
